"Trial","TaskWAV","Selected","Correct","RT","Subj_ID","list","Group","log_RT"
"12","DET_Task_ihr-e_Lieblingskuh.wav","TARGET","1","2463","O1",3,2,7.80913539812054
"13","DET_Task_ihr-e_Lieblingsavocado.wav","TARGET","1","1964","O1",3,2,7.58273848891441
"14","DET_Task_sein-e_Lieblingswurst.wav","TARGET","1","2005","O1",3,2,7.60339933974067
"15","DET_Task_ihr-0_Lieblingsroboter.wav","TARGET","1","2250","O1",3,2,7.71868549519847
"16","DET_Task_sein-0_Lieblingsspiegel.wav","TARGET","1","1954","O1",3,2,7.57763383260273
"17","DET_Task_ihr-0_Lieblingsapfel.wav","TARGET","1","1883","O1",3,2,7.54062152865715
"18","DET_Task_ihr-0_Lieblingskoffer.wav","TARGET","1","2065","O1",3,2,7.63288550539513
"19","DET_Task_sein-e_Lieblingsschuerze.wav","TARGET","1","1794","O1",3,2,7.49220304261874
"20","DET_Task_ihr-e_Lieblingsgeige.wav","TARGET","1","2409","O1",3,2,7.78696700261487
"21","DET_Task_sein-e_Lieblingstrommel.wav","TARGET","1","2493","O1",3,2,7.82124208352356
"22","DET_Task_sein-e_Lieblingsfeder.wav","TARGET","1","2324","O1",3,2,7.7510451179718
"23","DET_Task_ihr-0_Lieblingshonig.wav","TARGET","1","2208","O1",3,2,7.69984240739699
"24","DET_Task_ihr-e_Lieblingsqualle.wav","TARGET","1","2125","O1",3,2,7.66152708135852
"25","DET_Task_sein-0_Lieblingsdiamant.wav","TARGET","1","1944","O1",3,2,7.57250298502038
"26","DET_Task_sein-e_Lieblingsharfe.wav","TARGET","1","1758","O1",3,2,7.47193207824512
"27","DET_Task_sein-0_Lieblingsteller.wav","TARGET","1","1773","O1",3,2,7.48042830607421
"28","DET_Task_ihr-0_Lieblingsfaecher.wav","Possessee_comp","0","2398","O1",3,2,7.78239033558746
"29","DET_Task_ihr-e_Lieblingskette.wav","TARGET","1","2365","O1",3,2,7.76853330092603
"30","DET_Task_ihr-e_Lieblingsschnecke.wav","TARGET","1","2266","O1",3,2,7.72577144158795
"31","DET_Task_sein-0_Lieblingsapfel.wav","TARGET","1","1882","O1",3,2,7.54009032014532
"32","DET_Task_sein-e_Lieblingspfeife.wav","TARGET","1","2053","O1",3,2,7.62705741701893
"33","DET_Task_ihr-0_Lieblingsspargel.wav","TARGET","1","2067","O1",3,2,7.63385355968177
"34","DET_Task_sein-e_Lieblingskirsche.wav","TARGET","1","2630","O1",3,2,7.87473912517181
"35","DET_Task_ihr-0_Lieblingspinsel.wav","TARGET","1","2062","O1",3,2,7.63143166457691
"36","DET_Task_sein-0_Lieblingskaese.wav","TARGET","1","1861","O1",3,2,7.52886925664225
"37","DET_Task_sein-0_Lieblingszirkel.wav","TARGET","1","1914","O1",3,2,7.5569505720129
"38","DET_Task_ihr-0_Lieblingskalender.wav","TARGET","1","2034","O1",3,2,7.61775957660851
"39","DET_Task_ihr-e_Lieblingssaege.wav","TARGET","1","2442","O1",3,2,7.80057265467065
"40","DET_Task_sein-e_Lieblingstasse.wav","TARGET","1","1843","O1",3,2,7.51914995766982
"41","DET_Task_sein-e_Lieblingsmilch.wav","TARGET","1","1894","O1",3,2,7.54644627374602
"42","DET_Task_ihr-e_Lieblingsangel.wav","TARGET","1","2551","O1",3,2,7.84424071814181
"43","DET_Task_sein-e_Lieblingsdusche.wav","TARGET","1","1728","O1",3,2,7.454719949364
"44","DET_Task_ihr-0_Lieblingsteppich.wav","TARGET","1","2049","O1",3,2,7.6251071482389
"45","DET_Task_sein-0_Lieblingspullover.wav","TARGET","1","1702","O1",3,2,7.43955930913332
